詞目,簡編本注音,字型目前顯示,差異(字:字型→簡編本(修法)),修法,備註
千載難逢,ㄑㄧㄢ ㄗㄞˇ ㄋㄢˊ ㄈㄥˊ,ㄑㄧㄢ ㄗㄞˋ ㄋㄢˊ ㄈㄥˊ,載:ㄗㄞˋ→ㄗㄞˇ(IVS+1),IVS可修,
牽強,ㄑㄧㄢ ㄑㄧㄤˇ,ㄑㄧㄢ ㄑㄧㄤˊ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
牽強附會,ㄑㄧㄢ ㄑㄧㄤˇ ㄈㄨˋ ㄏㄨㄟˋ,ㄑㄧㄢ ㄑㄧㄤˊ ㄈㄨˋ ㄏㄨㄟˋ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
鉛中毒,ㄑㄧㄢ ㄓㄨㄥˋ ㄉㄨˊ,ㄑㄧㄢ ㄓㄨㄥ ㄉㄨˊ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
簽署,ㄑㄧㄢ ㄕㄨˋ,ㄑㄧㄢ ㄕㄨˇ,署:ㄕㄨˇ→ㄕㄨˋ(IVS+1),IVS可修,
遷調,ㄑㄧㄢ ㄉㄧㄠˋ,ㄑㄧㄢ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
遷都,ㄑㄧㄢ ㄉㄨ,ㄑㄧㄢ ㄉㄡ,都:ㄉㄡ→ㄉㄨ(IVS+1),IVS可修,
前頭,ㄑㄧㄢˊ ˙ㄊㄡ,ㄑㄧㄢˊ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
乾坤,ㄑㄧㄢˊ ㄎㄨㄣ,ㄍㄢ ㄎㄨㄣ,乾:ㄍㄢ→ㄑㄧㄢˊ(IVS+1),IVS可修,
鉗子,ㄑㄧㄢˊ ˙ㄗ,ㄑㄧㄢˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
欠當,ㄑㄧㄢˋ ㄉㄤˋ,ㄑㄧㄢˋ ㄉㄤ,當:ㄉㄤ→ㄉㄤˋ(IVS+1),IVS可修,
欽差,ㄑㄧㄣ ㄔㄞ,ㄑㄧㄣ ㄔㄚ,差:ㄔㄚ→ㄔㄞ(IVS+1),IVS可修,
親切,ㄑㄧㄣ ㄑㄧㄝˋ,ㄑㄧㄣ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
腔調,ㄑㄧㄤ ㄉㄧㄠˋ,ㄑㄧㄤ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
槍把,ㄑㄧㄤ ㄅㄚˋ,ㄑㄧㄤ ㄅㄚˇ,把:ㄅㄚˇ→ㄅㄚˋ(IVS+1),IVS可修,
槍桿子,ㄑㄧㄤ ㄍㄢˇ ˙ㄗ,ㄑㄧㄤ ㄍㄢˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
鏹水,ㄑㄧㄤ ㄕㄨㄟˇ,ㄑㄧㄤˇ ㄕㄨㄟˇ,鏹:ㄑㄧㄤˇ→ㄑㄧㄤ(IVS+1),IVS可修,
強調,ㄑㄧㄤˊ ㄉㄧㄠˋ,ㄑㄧㄤˊ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
強橫,ㄑㄧㄤˊ ㄏㄥˋ,ㄑㄧㄤˊ ㄏㄥˊ,橫:ㄏㄥˊ→ㄏㄥˋ(IVS+1),IVS可修,
強將手下無弱兵,ㄑㄧㄤˊ ㄐㄧㄤˋ ㄕㄡˇ ㄒㄧㄚˋ ㄨˊ ㄖㄨㄛˋ ㄅㄧㄥ,ㄑㄧㄤˊ ㄐㄧㄤ ㄕㄡˇ ㄒㄧㄚˋ ㄨˊ ㄖㄨㄛˋ ㄅㄧㄥ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
強盛,ㄑㄧㄤˊ ㄕㄥˋ,ㄑㄧㄤˊ ㄔㄥˊ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
強迫,ㄑㄧㄤˇ ㄆㄛˋ,ㄑㄧㄤˊ ㄆㄛˋ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強迫中獎,ㄑㄧㄤˇ ㄆㄛˋ ㄓㄨㄥˋ ㄐㄧㄤˇ,ㄑㄧㄤˊ ㄆㄛˋ ㄓㄨㄥ ㄐㄧㄤˇ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1); 中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
強求,ㄑㄧㄤˇ ㄑㄧㄡˊ,ㄑㄧㄤˊ ㄑㄧㄡˊ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強行,ㄑㄧㄤˇ ㄒㄧㄥˊ,ㄑㄧㄤˊ ㄒㄧㄥˊ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強制,ㄑㄧㄤˇ ㄓˋ,ㄑㄧㄤˊ ㄓˋ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強制保險,ㄑㄧㄤˇ ㄓˋ ㄅㄠˇ ㄒㄧㄢˇ,ㄑㄧㄤˊ ㄓˋ ㄅㄠˇ ㄒㄧㄢˇ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強制執行,ㄑㄧㄤˇ ㄓˋ ㄓˊ ㄒㄧㄥˊ,ㄑㄧㄤˊ ㄓˋ ㄓˊ ㄒㄧㄥˊ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強人所難,ㄑㄧㄤˇ ㄖㄣˊ ㄙㄨㄛˇ ㄋㄢˊ,ㄑㄧㄤˊ ㄖㄣˊ ㄙㄨㄛˇ ㄋㄢˊ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強忍,ㄑㄧㄤˇ ㄖㄣˇ,ㄑㄧㄤˊ ㄖㄣˇ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強詞奪理,ㄑㄧㄤˇ ㄘˊ ㄉㄨㄛˊ ㄌㄧˇ,ㄑㄧㄤˊ ㄘˊ ㄉㄨㄛˊ ㄌㄧˇ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
強顏歡笑,ㄑㄧㄤˇ ㄧㄢˊ ㄏㄨㄢ ㄒㄧㄠˋ,ㄑㄧㄤˊ ㄧㄢˊ ㄏㄨㄢ ㄒㄧㄠˋ,強:ㄑㄧㄤˊ→ㄑㄧㄤˇ(IVS+1),IVS可修,
搶風頭,ㄑㄧㄤˇ ㄈㄥ ˙ㄊㄡ,ㄑㄧㄤˇ ㄈㄥ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
搶盡鋒頭,ㄑㄧㄤˇ ㄐㄧㄣˋ ㄈㄥ ˙ㄊㄡ,ㄑㄧㄤˇ ㄐㄧㄣˋ ㄈㄥ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
青少年,ㄑㄧㄥ ㄕㄠˋ ㄋㄧㄢˊ,ㄑㄧㄥ ㄕㄠˇ ㄋㄧㄢˊ,少:ㄕㄠˇ→ㄕㄠˋ(IVS+1),IVS可修,
輕佻,ㄑㄧㄥ ㄊㄧㄠˊ,ㄑㄧㄥ ㄊㄧㄠ,佻:ㄊㄧㄠ→ㄊㄧㄠˊ(IVS+1),IVS可修,
輕車簡從,ㄑㄧㄥ ㄔㄜ ㄐㄧㄢˇ ㄗㄨㄥˋ,ㄑㄧㄥ ㄔㄜ ㄐㄧㄢˇ ㄘㄨㄥˊ,從:ㄘㄨㄥˊ→ㄗㄨㄥˋ(IVS+1),IVS可修,
輕率,ㄑㄧㄥ ㄕㄨㄞˋ,ㄑㄧㄥ ㄌㄩˋ,率:ㄌㄩˋ→ㄕㄨㄞˋ(IVS+1),IVS可修,
輕水反應器,ㄑㄧㄥ ㄕㄨㄟˇ ㄈㄢˇ ㄧㄥˋ ㄑㄧˋ,ㄑㄧㄥ ㄕㄨㄟˇ ㄈㄢˇ ㄧㄥ ㄑㄧˋ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
輕財好義,ㄑㄧㄥ ㄘㄞˊ ㄏㄠˋ ㄧˋ,ㄑㄧㄥ ㄘㄞˊ ㄏㄠˇ ㄧˋ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
輕音樂,ㄑㄧㄥ ㄧㄣ ㄩㄝˋ,ㄑㄧㄥ ㄧㄣ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
傾囊相授,ㄑㄧㄥ ㄋㄤˊ ㄒㄧㄤ ㄕㄡˋ,ㄑㄧㄥ ㄋㄤˊ ㄒㄧㄤˋ ㄕㄡˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
傾軋,ㄑㄧㄥ ㄧㄚˋ,ㄑㄧㄥ ㄍㄚˊ,軋:ㄍㄚˊ→ㄧㄚˋ(IVS+1),IVS可修,
情不自禁,ㄑㄧㄥˊ ㄅㄨˋ ㄗˋ ㄐㄧㄣ,ㄑㄧㄥˊ ㄅㄨˋ ㄗˋ ㄐㄧㄣˋ,禁:ㄐㄧㄣˋ→ㄐㄧㄣ(IVS+1),IVS可修,
情分,ㄑㄧㄥˊ ㄈㄣˋ,ㄑㄧㄥˊ ㄈㄣ,分:ㄈㄣ→ㄈㄣˋ(IVS+1),IVS可修,
情調,ㄑㄧㄥˊ ㄉㄧㄠˋ,ㄑㄧㄥˊ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
請假,ㄑㄧㄥˇ ㄐㄧㄚˋ,ㄑㄧㄥˇ ㄐㄧㄚˇ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
親家,ㄑㄧㄥˋ ㄐㄧㄚ,ㄑㄧㄣ ㄐㄧㄚ,親:ㄑㄧㄣ→ㄑㄧㄥˋ(IVS+1),IVS可修,
曲棍球,ㄑㄩ ㄍㄨㄣˋ ㄑㄧㄡˊ,ㄑㄩˇ ㄍㄨㄣˋ ㄑㄧㄡˊ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲解,ㄑㄩ ㄐㄧㄝˇ,ㄑㄩˇ ㄐㄧㄝˇ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲徑通幽,ㄑㄩ ㄐㄧㄥˋ ㄊㄨㄥ ㄧㄡ,ㄑㄩˇ ㄐㄧㄥˋ ㄊㄨㄥ ㄧㄡ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲球,ㄑㄩ ㄑㄧㄡˊ,ㄑㄩˇ ㄑㄧㄡˊ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲線,ㄑㄩ ㄒㄧㄢˋ,ㄑㄩˇ ㄒㄧㄢˋ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲直,ㄑㄩ ㄓˊ,ㄑㄩˇ ㄓˊ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲折,ㄑㄩ ㄓㄜˊ,ㄑㄩˇ ㄓㄜˊ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲折離奇,ㄑㄩ ㄓㄜˊ ㄌㄧˊ ㄑㄧˊ,ㄑㄩˇ ㄓㄜˊ ㄌㄧˊ ㄑㄧˊ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲尺,ㄑㄩ ㄔˇ,ㄑㄩˇ ㄔˇ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲水流觴,ㄑㄩ ㄕㄨㄟˇ ㄌㄧㄡˊ ㄕㄤ,ㄑㄩˇ ㄕㄨㄟˇ ㄌㄧㄡˊ ㄕㄤ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
曲意逢迎,ㄑㄩ ㄧˋ ㄈㄥˊ ㄧㄥˊ,ㄑㄩˇ ㄧˋ ㄈㄥˊ ㄧㄥˊ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
屈指可數,ㄑㄩ ㄓˇ ㄎㄜˇ ㄕㄨˇ,ㄑㄩ ㄓˇ ㄎㄜˇ ㄕㄨˋ,數:ㄕㄨˋ→ㄕㄨˇ(IVS+1),IVS可修,
曲調,ㄑㄩˇ ㄉㄧㄠˋ,ㄑㄩˇ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
曲高和寡,ㄑㄩˇ ㄍㄠ ㄏㄜˋ ㄍㄨㄚˇ,ㄑㄩˇ ㄍㄠ ㄏㄜˊ ㄍㄨㄚˇ,和:ㄏㄜˊ→ㄏㄜˋ(IVS+2),IVS可修,
曲子,ㄑㄩˇ ˙ㄗ,ㄑㄩˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
去處,ㄑㄩˋ ㄔㄨˋ,ㄑㄩˋ ㄔㄨˇ,處:ㄔㄨˇ→ㄔㄨˋ(IVS+1),IVS可修,
雀屏中選,ㄑㄩㄝˋ ㄆㄧㄥˊ ㄓㄨㄥˋ ㄒㄩㄢˇ,ㄑㄩㄝˋ ㄆㄧㄥˊ ㄓㄨㄥ ㄒㄩㄢˇ,中:ㄓㄨㄥ→ㄓㄨㄥˋ(IVS+1),IVS可修,
確切,ㄑㄩㄝˋ ㄑㄧㄝˋ,ㄑㄩㄝˋ ㄑㄧㄝ,切:ㄑㄧㄝ→ㄑㄧㄝˋ(IVS+1),IVS可修,
圈子,ㄑㄩㄢ ˙ㄗ,ㄑㄩㄢ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
全軍覆沒,ㄑㄩㄢˊ ㄐㄩㄣ ㄈㄨˋ ㄇㄛˋ,ㄑㄩㄢˊ ㄐㄩㄣ ㄈㄨˋ ㄇㄟˊ,沒:ㄇㄟˊ→ㄇㄛˋ(IVS+1),IVS可修,
全職媽媽,ㄑㄩㄢˊ ㄓˊ ㄇㄚ ˙ㄇㄚ,ㄑㄩㄢˊ ㄓˊ ㄇㄚ ㄇㄚ,媽:ㄇㄚ→˙ㄇㄚ(IVS+1),IVS可修,
全盛,ㄑㄩㄢˊ ㄕㄥˋ,ㄑㄩㄢˊ ㄔㄥˊ,盛:ㄔㄥˊ→ㄕㄥˋ(IVS+1),IVS可修,
拳頭,ㄑㄩㄢˊ ˙ㄊㄡ,ㄑㄩㄢˊ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
蜷曲,ㄑㄩㄢˊ ㄑㄩ,ㄑㄩㄢˊ ㄑㄩˇ,曲:ㄑㄩˇ→ㄑㄩ(IVS+1),IVS可修,
犬牙相錯,ㄑㄩㄢˇ ㄧㄚˊ ㄒㄧㄤ ㄘㄨㄛˋ,ㄑㄩㄢˇ ㄧㄚˊ ㄒㄧㄤˋ ㄘㄨㄛˋ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
裙子,ㄑㄩㄣˊ ˙ㄗ,ㄑㄩㄣˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
窮途潦倒,ㄑㄩㄥˊ ㄊㄨˊ ㄌㄧㄠˊ ㄉㄠˇ,ㄑㄩㄥˊ ㄊㄨˊ ㄌㄧㄠˊ ㄉㄠˋ,倒:ㄉㄠˋ→ㄉㄠˇ(IVS+1),IVS可修,
窮於應付,ㄑㄩㄥˊ ㄩˊ ㄧㄥˋ ㄈㄨˋ,ㄑㄩㄥˊ ㄩˊ ㄧㄥ ㄈㄨˋ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
西樂,ㄒㄧ ㄩㄝˋ,ㄒㄧ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
栖栖,ㄒㄧ ㄒㄧ,ㄑㄧ ㄑㄧ,栖:ㄑㄧ→ㄒㄧ(IVS+1); 栖:ㄑㄧ→ㄒㄧ(IVS+1),IVS可修,
息息相關,ㄒㄧˊ ㄒㄧˊ ㄒㄧㄤ ㄍㄨㄢ,ㄒㄧˊ ㄒㄧˊ ㄒㄧㄤˋ ㄍㄨㄢ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
喜不自禁,ㄒㄧˇ ㄅㄨˋ ㄗˋ ㄐㄧㄣ,ㄒㄧˇ ㄅㄨˋ ㄗˋ ㄐㄧㄣˋ,禁:ㄐㄧㄣˋ→ㄐㄧㄣ(IVS+1),IVS可修,
喜不自勝,ㄒㄧˇ ㄅㄨˋ ㄗˋ ㄕㄥ,ㄒㄧˇ ㄅㄨˋ ㄗˋ ㄕㄥˋ,勝:ㄕㄥˋ→ㄕㄥ(IVS+1),IVS可修,
喜好,ㄒㄧˇ ㄏㄠˋ,ㄒㄧˇ ㄏㄠˇ,好:ㄏㄠˇ→ㄏㄠˋ(IVS+1),IVS可修,
隙縫,ㄒㄧˋ ㄈㄥˋ,ㄒㄧˋ ㄈㄥˊ,縫:ㄈㄥˊ→ㄈㄥˋ(IVS+1),IVS可修,
戲子,ㄒㄧˋ ˙ㄗ,ㄒㄧˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
戲園子,ㄒㄧˋ ㄩㄢˊ ˙ㄗ,ㄒㄧˋ ㄩㄢˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
蝦兵蟹將,ㄒㄧㄚ ㄅㄧㄥ ㄒㄧㄝˋ ㄐㄧㄤˋ,ㄒㄧㄚ ㄅㄧㄥ ㄒㄧㄝˋ ㄐㄧㄤ,將:ㄐㄧㄤ→ㄐㄧㄤˋ(IVS+1),IVS可修,
瞎子,ㄒㄧㄚ ˙ㄗ,ㄒㄧㄚ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
匣子,ㄒㄧㄚˊ ˙ㄗ,ㄒㄧㄚˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
狹路相逢,ㄒㄧㄚˊ ㄌㄨˋ ㄒㄧㄤ ㄈㄥˊ,ㄒㄧㄚˊ ㄌㄨˋ ㄒㄧㄤˋ ㄈㄥˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
下輩子,ㄒㄧㄚˋ ㄅㄟˋ ˙ㄗ,ㄒㄧㄚˋ ㄅㄟˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
下半輩子,ㄒㄧㄚˋ ㄅㄢˋ ㄅㄟˋ ˙ㄗ,ㄒㄧㄚˋ ㄅㄢˋ ㄅㄟˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
下不了臺,ㄒㄧㄚˋ ㄅㄨˋ ㄌㄧㄠˇ ㄊㄞˊ,ㄒㄧㄚˋ ㄅㄨˋ ˙ㄌㄜ ㄊㄞˊ,了:˙ㄌㄜ→ㄌㄧㄠˇ(IVS+1),IVS可修,
下頭,ㄒㄧㄚˋ ˙ㄊㄡ,ㄒㄧㄚˋ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
下工夫,ㄒㄧㄚˋ ㄍㄨㄥ ˙ㄈㄨ,ㄒㄧㄚˋ ㄍㄨㄥ ㄈㄨ,夫:ㄈㄨ→˙ㄈㄨ(字型無此讀音),字型缺讀音,
下功夫,ㄒㄧㄚˋ ㄍㄨㄥ ˙ㄈㄨ,ㄒㄧㄚˋ ㄍㄨㄥ ㄈㄨ,夫:ㄈㄨ→˙ㄈㄨ(字型無此讀音),字型缺讀音,
楔子,ㄒㄧㄝ ˙ㄗ,ㄒㄧㄝ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
頡頏,ㄒㄧㄝˊ ㄏㄤˊ,ㄐㄧㄝˊ ㄏㄤˊ,頡:ㄐㄧㄝˊ→ㄒㄧㄝˊ(IVS+1),IVS可修,
鞋拔子,ㄒㄧㄝˊ ㄅㄚˊ ˙ㄗ,ㄒㄧㄝˊ ㄅㄚˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
鞋子,ㄒㄧㄝˊ ˙ㄗ,ㄒㄧㄝˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
血債血還,ㄒㄧㄝˇ ㄓㄞˋ ㄒㄧㄝˇ ㄏㄨㄢˊ,ㄒㄧㄝˇ ㄓㄞˋ ㄒㄧㄝˇ ㄏㄞˊ,還:ㄏㄞˊ→ㄏㄨㄢˊ(IVS+1),IVS可修,
血肉相連,ㄒㄧㄝˇ ㄖㄡˋ ㄒㄧㄤ ㄌㄧㄢˊ,ㄒㄧㄝˇ ㄖㄡˋ ㄒㄧㄤˋ ㄌㄧㄢˊ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
解縣,ㄒㄧㄝˋ ㄒㄧㄢˋ,ㄐㄧㄝˇ ㄒㄧㄢˋ,解:ㄐㄧㄝˇ→ㄒㄧㄝˋ(IVS+2),IVS可修,
消長,ㄒㄧㄠ ㄓㄤˇ,ㄒㄧㄠ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
銷假,ㄒㄧㄠ ㄐㄧㄚˋ,ㄒㄧㄠ ㄐㄧㄚˇ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
小本生意,ㄒㄧㄠˇ ㄅㄣˇ ㄕㄥ ˙ㄧ,ㄒㄧㄠˇ ㄅㄣˇ ㄕㄥ ㄧˋ,意:ㄧˋ→˙ㄧ(字型無此讀音),字型缺讀音,
小辮子,ㄒㄧㄠˇ ㄅㄧㄢˋ ˙ㄗ,ㄒㄧㄠˇ ㄅㄧㄢˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
小毛頭,ㄒㄧㄠˇ ㄇㄠˊ ˙ㄊㄡ,ㄒㄧㄠˇ ㄇㄠˊ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
小調,ㄒㄧㄠˇ ㄉㄧㄠˋ,ㄒㄧㄠˇ ㄊㄧㄠˊ,調:ㄊㄧㄠˊ→ㄉㄧㄠˋ(IVS+1),IVS可修,
小妮子,ㄒㄧㄠˇ ㄋㄧˊ ˙ㄗ,ㄒㄧㄠˇ ㄋㄧˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
小伙子,ㄒㄧㄠˇ ㄏㄨㄛˇ ˙ㄗ,ㄒㄧㄠˇ ㄏㄨㄛˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
小夥子,ㄒㄧㄠˇ ㄏㄨㄛˇ ˙ㄗ,ㄒㄧㄠˇ ㄏㄨㄛˇ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
小舅子,ㄒㄧㄠˇ ㄐㄧㄡˋ ˙ㄗ,ㄒㄧㄠˇ ㄐㄧㄡˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
小圈子,ㄒㄧㄠˇ ㄑㄩㄢ ˙ㄗ,ㄒㄧㄠˇ ㄑㄩㄢ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
小傳,ㄒㄧㄠˇ ㄓㄨㄢˋ,ㄒㄧㄠˇ ㄔㄨㄢˊ,傳:ㄔㄨㄢˊ→ㄓㄨㄢˋ(IVS+1),IVS可修,
小姨子,ㄒㄧㄠˇ ㄧˊ ˙ㄗ,ㄒㄧㄠˇ ㄧˊ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
小意思,ㄒㄧㄠˇ ㄧˋ ˙ㄙ,ㄒㄧㄠˇ ㄧˋ ㄙ,思:ㄙ→˙ㄙ(IVS+2),IVS可修,
曉得,ㄒㄧㄠˇ ˙ㄉㄜ,ㄒㄧㄠˇ ㄉㄜˊ,得:ㄉㄜˊ→˙ㄉㄜ(IVS+1),IVS可修,
效應,ㄒㄧㄠˋ ㄧㄥˋ,ㄒㄧㄠˋ ㄧㄥ,應:ㄧㄥ→ㄧㄥˋ(IVS+1),IVS可修,
校長,ㄒㄧㄠˋ ㄓㄤˇ,ㄒㄧㄠˋ ㄔㄤˊ,長:ㄔㄤˊ→ㄓㄤˇ(IVS+1),IVS可修,
休假,ㄒㄧㄡ ㄐㄧㄚˋ,ㄒㄧㄡ ㄐㄧㄚˇ,假:ㄐㄧㄚˇ→ㄐㄧㄚˋ(IVS+1),IVS可修,
休戚相關,ㄒㄧㄡ ㄑㄧ ㄒㄧㄤ ㄍㄨㄢ,ㄒㄧㄡ ㄑㄧ ㄒㄧㄤˋ ㄍㄨㄢ,相:ㄒㄧㄤˋ→ㄒㄧㄤ(IVS+1),IVS可修,
羞答答,ㄒㄧㄡ ㄉㄚ ㄉㄚ,ㄒㄧㄡ ㄉㄚˊ ㄉㄚˊ,答:ㄉㄚˊ→ㄉㄚ(IVS+1); 答:ㄉㄚˊ→ㄉㄚ(IVS+1),IVS可修,
袖子,ㄒㄧㄡˋ ˙ㄗ,ㄒㄧㄡˋ ㄗˇ,子:ㄗˇ→˙ㄗ(IVS+1),IVS可修,
繡花枕頭,ㄒㄧㄡˋ ㄏㄨㄚ ㄓㄣˇ ˙ㄊㄡ,ㄒㄧㄡˋ ㄏㄨㄚ ㄓㄣˇ ㄊㄡˊ,頭:ㄊㄡˊ→˙ㄊㄡ(IVS+1),IVS可修,
仙樂,ㄒㄧㄢ ㄩㄝˋ,ㄒㄧㄢ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
弦樂,ㄒㄧㄢˊ ㄩㄝˋ,ㄒㄧㄢˊ ㄌㄜˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
弦樂器,ㄒㄧㄢˊ ㄩㄝˋ ㄑㄧˋ,ㄒㄧㄢˊ ㄌㄜˋ ㄑㄧˋ,樂:ㄌㄜˋ→ㄩㄝˋ(IVS+1),IVS可修,
閒散,ㄒㄧㄢˊ ㄙㄢˇ,ㄒㄧㄢˊ ㄙㄢˋ,散:ㄙㄢˋ→ㄙㄢˇ(IVS+1),IVS可修,
嫌惡,ㄒㄧㄢˊ ㄨˋ,ㄒㄧㄢˊ ㄜˋ,惡:ㄜˋ→ㄨˋ(IVS+1),IVS可修,
鮮少,ㄒㄧㄢˇ ㄕㄠˇ,ㄒㄧㄢ ㄕㄠˇ,鮮:ㄒㄧㄢ→ㄒㄧㄢˇ(IVS+1),IVS可修,
鮮為人知,ㄒㄧㄢˇ ㄨㄟˊ ㄖㄣˊ ㄓ,ㄒㄧㄢ ㄨㄟˊ ㄖㄣˊ ㄓ,鮮:ㄒㄧㄢ→ㄒㄧㄢˇ(IVS+1),IVS可修,
