詞目,簡編本注音一式,字型目前顯示,插碼後字串,碼點,哪個字用第幾讀音,備註
熱爪哇,ㄖㄜˋ ㄓㄠˇ ㄨㄚ,ㄖㄜˋ ㄓㄨㄚˇ ㄨㄚ,熱爪󠇡哇,U+71B1 U+722A U+E01E1 U+54C7,爪:IVS+1,
繞圈子,ㄖㄠˋ ㄑㄩㄢ ˙ㄗ,ㄖㄠˋ ㄑㄩㄢ ㄗˇ,繞圈子󠇡,U+7E5E U+5708 U+5B50 U+E01E1,子:IVS+1,
肉包子,ㄖㄡˋ ㄅㄠ ˙ㄗ,ㄖㄡˋ ㄅㄠ ㄗˇ,肉包子󠇡,U+8089 U+5305 U+5B50 U+E01E1,子:IVS+1,
人質,ㄖㄣˊ ㄓˋ,ㄖㄣˊ ㄓˊ,人質󠇡,U+4EBA U+8CEA U+E01E1,質:IVS+1,
人畜,ㄖㄣˊ ㄔㄨˋ,ㄖㄣˊ ㄒㄩˋ,人畜󠇡,U+4EBA U+755C U+E01E1,畜:IVS+1,
人參,ㄖㄣˊ ㄕㄣ,ㄖㄣˊ ㄘㄢ,人參󠇡,U+4EBA U+53C3 U+E01E1,參:IVS+1,
人才濟濟,ㄖㄣˊ ㄘㄞˊ ㄐㄧˇ ㄐㄧˇ,ㄖㄣˊ ㄘㄞˊ ㄐㄧˋ ㄐㄧˋ,人才濟󠇡濟󠇡,U+4EBA U+624D U+6FDF U+E01E1 U+6FDF U+E01E1,濟:IVS+1; 濟:IVS+1,
忍俊不禁,ㄖㄣˇ ㄐㄩㄣˋ ㄅㄨˋ ㄐㄧㄣ,ㄖㄣˇ ㄐㄩㄣˋ ㄅㄨˋ ㄐㄧㄣˋ,忍俊不禁󠇡,U+5FCD U+4FCA U+4E0D U+7981 U+E01E1,禁:IVS+1,
認得,ㄖㄣˋ ˙ㄉㄜ,ㄖㄣˋ ㄉㄜˊ,認得󠇡,U+8A8D U+5F97 U+E01E1,得:IVS+1,
如法炮製,ㄖㄨˊ ㄈㄚˇ ㄆㄠˊ ㄓˋ,ㄖㄨˊ ㄈㄚˇ ㄆㄠˋ ㄓˋ,如法炮󠇡製,U+5982 U+6CD5 U+70AE U+E01E1 U+88FD,炮:IVS+1,
如數家珍,ㄖㄨˊ ㄕㄨˇ ㄐㄧㄚ ㄓㄣ,ㄖㄨˊ ㄕㄨˋ ㄐㄧㄚ ㄓㄣ,如數󠇡家珍,U+5982 U+6578 U+E01E1 U+5BB6 U+73CD,數:IVS+1,
如喪考妣,ㄖㄨˊ ㄙㄤˋ ㄎㄠˇ ㄅㄧˇ,ㄖㄨˊ ㄙㄤ ㄎㄠˇ ㄅㄧˇ,如喪󠇡考妣,U+5982 U+55AA U+E01E1 U+8003 U+59A3,喪:IVS+1,
如影相隨,ㄖㄨˊ ㄧㄥˇ ㄒㄧㄤ ㄙㄨㄟˊ,ㄖㄨˊ ㄧㄥˇ ㄒㄧㄤˋ ㄙㄨㄟˊ,如影相󠇡隨,U+5982 U+5F71 U+76F8 U+E01E1 U+96A8,相:IVS+1,
儒將,ㄖㄨˊ ㄐㄧㄤˋ,ㄖㄨˊ ㄐㄧㄤ,儒將󠇡,U+5112 U+5C07 U+E01E1,將:IVS+1,
乳臭未乾,ㄖㄨˇ ㄒㄧㄡˋ ㄨㄟˋ ㄍㄢ,ㄖㄨˇ ㄔㄡˋ ㄨㄟˋ ㄍㄢ,乳臭󠇡未乾,U+4E73 U+81ED U+E01E1 U+672A U+4E7E,臭:IVS+1,
辱沒,ㄖㄨˋ ㄇㄛˋ,ㄖㄨˋ ㄇㄟˊ,辱沒󠇡,U+8FB1 U+6C92 U+E01E1,沒:IVS+1,
弱不禁風,ㄖㄨㄛˋ ㄅㄨˋ ㄐㄧㄣ ㄈㄥ,ㄖㄨㄛˋ ㄅㄨˋ ㄐㄧㄣˋ ㄈㄥ,弱不禁󠇡風,U+5F31 U+4E0D U+7981 U+E01E1 U+98A8,禁:IVS+1,
軟釘子,ㄖㄨㄢˇ ㄉㄧㄥ ˙ㄗ,ㄖㄨㄢˇ ㄉㄧㄥ ㄗˇ,軟釘子󠇡,U+8EDF U+91D8 U+5B50 U+E01E1,子:IVS+1,
軟骨頭,ㄖㄨㄢˇ ㄍㄨˊ ˙ㄊㄡ,ㄖㄨㄢˇ ㄍㄨˇ ㄊㄡˊ,軟骨󠇢頭󠇡,U+8EDF U+9AA8 U+E01E2 U+982D U+E01E1,骨:IVS+2; 頭:IVS+1,
滋長,ㄗ ㄓㄤˇ,ㄗ ㄔㄤˊ,滋長󠇡,U+6ECB U+9577 U+E01E1,長:IVS+1,
姊姊,ㄐㄧㄝˇ ˙ㄐㄧㄝ,ㄐㄧㄝˇ ㄐㄧㄝˇ,姊姊󠇡,U+59CA U+59CA U+E01E1,姊:IVS+1,
字裡行間,ㄗˋ ㄌㄧˇ ㄏㄤˊ ㄐㄧㄢ,ㄗˋ ㄌㄧˇ ㄒㄧㄥˊ ㄐㄧㄢ,字裡行󠇡間,U+5B57 U+88E1 U+884C U+E01E1 U+9593,行:IVS+1,
自力更生,ㄗˋ ㄌㄧˋ ㄍㄥ ㄕㄥ,ㄗˋ ㄌㄧˋ ㄍㄥˋ ㄕㄥ,自力更󠇡生,U+81EA U+529B U+66F4 U+E01E1 U+751F,更:IVS+1,
自個兒,ㄗˋ ㄍㄜˇ ㄦ,ㄗˋ ㄍㄜˋ ㄦˊ,自個󠇢兒󠇡,U+81EA U+500B U+E01E2 U+5152 U+E01E1,個:IVS+2; 兒:IVS+1,
自給,ㄗˋ ㄐㄧˇ,ㄗˋ ㄍㄟˇ,自給󠇡,U+81EA U+7D66 U+E01E1,給:IVS+1,
自給自足,ㄗˋ ㄐㄧˇ ㄗˋ ㄗㄨˊ,ㄗˋ ㄍㄟˇ ㄗˋ ㄗㄨˊ,自給󠇡自足,U+81EA U+7D66 U+E01E1 U+81EA U+8DB3,給:IVS+1,
自相矛盾,ㄗˋ ㄒㄧㄤ ㄇㄠˊ ㄉㄨㄣˋ,ㄗˋ ㄒㄧㄤˋ ㄇㄠˊ ㄉㄨㄣˋ,自相󠇡矛盾,U+81EA U+76F8 U+E01E1 U+77DB U+76FE,相:IVS+1,
自相殘殺,ㄗˋ ㄒㄧㄤ ㄘㄢˊ ㄕㄚ,ㄗˋ ㄒㄧㄤˋ ㄘㄢˊ ㄕㄚ,自相󠇡殘殺,U+81EA U+76F8 U+E01E1 U+6B98 U+6BBA,相:IVS+1,
自省,ㄗˋ ㄒㄧㄥˇ,ㄗˋ ㄕㄥˇ,自省󠇡,U+81EA U+7701 U+E01E1,省:IVS+1,
自轉,ㄗˋ ㄓㄨㄢˋ,ㄗˋ ㄓㄨㄢˇ,自轉󠇡,U+81EA U+8F49 U+E01E1,轉:IVS+1,
自傳,ㄗˋ ㄓㄨㄢˋ,ㄗˋ ㄔㄨㄢˊ,自傳󠇡,U+81EA U+50B3 U+E01E1,傳:IVS+1,
自認倒楣,ㄗˋ ㄖㄣˋ ㄉㄠˇ ㄇㄟˊ,ㄗˋ ㄖㄣˋ ㄉㄠˋ ㄇㄟˊ,自認倒󠇡楣,U+81EA U+8A8D U+5012 U+E01E1 U+6963,倒:IVS+1,
自我反省,ㄗˋ ㄨㄛˇ ㄈㄢˇ ㄒㄧㄥˇ,ㄗˋ ㄨㄛˇ ㄈㄢˇ ㄕㄥˇ,自我反省󠇡,U+81EA U+6211 U+53CD U+7701 U+E01E1,省:IVS+1,
自怨自艾,ㄗˋ ㄩㄢˋ ㄗˋ ㄧˋ,ㄗˋ ㄩㄢˋ ㄗˋ ㄞˋ,自怨自艾󠇡,U+81EA U+6028 U+81EA U+827E U+E01E1,艾:IVS+1,
咱家,ㄗㄚˊ ㄐㄧㄚ,ㄗㄢˊ ㄐㄧㄚ,咱󠇡家,U+54B1 U+E01E1 U+5BB6,咱:IVS+1,
責難,ㄗㄜˊ ㄋㄢˋ,ㄗㄜˊ ㄋㄢˊ,責難󠇡,U+8CAC U+96E3 U+E01E1,難:IVS+1,
災難,ㄗㄞ ㄋㄢˋ,ㄗㄞ ㄋㄢˊ,災難󠇡,U+707D U+96E3 U+E01E1,難:IVS+1,
栽跟頭,ㄗㄞ ㄍㄣ ˙ㄊㄡ,ㄗㄞ ㄍㄣ ㄊㄡˊ,栽跟頭󠇡,U+683D U+8DDF U+982D U+E01E1,頭:IVS+1,
栽種,ㄗㄞ ㄓㄨㄥˋ,ㄗㄞ ㄓㄨㄥˇ,栽種󠇡,U+683D U+7A2E U+E01E1,種:IVS+1,
在行,ㄗㄞˋ ㄏㄤˊ,ㄗㄞˋ ㄒㄧㄥˊ,在行󠇡,U+5728 U+884C U+E01E1,行:IVS+1,
遭難,ㄗㄠ ㄋㄢˋ,ㄗㄠ ㄋㄢˊ,遭難󠇡,U+906D U+96E3 U+E01E1,難:IVS+1,
鑿子,ㄗㄠˊ ˙ㄗ,ㄗㄠˊ ㄗˇ,鑿子󠇡,U+947F U+5B50 U+E01E1,子:IVS+1,
早點兒,ㄗㄠˇ ㄉㄧㄢˇ ㄦ,ㄗㄠˇ ㄉㄧㄢˇ ㄦˊ,早點兒󠇡,U+65E9 U+9EDE U+5152 U+E01E1,兒:IVS+1,
棗子,ㄗㄠˇ ˙ㄗ,ㄗㄠˇ ㄗˇ,棗子󠇡,U+68D7 U+5B50 U+E01E1,子:IVS+1,
走馬換將,ㄗㄡˇ ㄇㄚˇ ㄏㄨㄢˋ ㄐㄧㄤˋ,ㄗㄡˇ ㄇㄚˇ ㄏㄨㄢˋ ㄐㄧㄤ,走馬換將󠇡,U+8D70 U+99AC U+63DB U+5C07 U+E01E1,將:IVS+1,
奏樂,ㄗㄡˋ ㄩㄝˋ,ㄗㄡˋ ㄌㄜˋ,奏樂󠇡,U+594F U+6A02 U+E01E1,樂:IVS+1,
曾祖,ㄗㄥ ㄗㄨˇ,ㄘㄥˊ ㄗㄨˇ,曾󠇡祖,U+66FE U+E01E1 U+7956,曾:IVS+1,
曾祖母,ㄗㄥ ㄗㄨˇ ㄇㄨˇ,ㄘㄥˊ ㄗㄨˇ ㄇㄨˇ,曾󠇡祖母,U+66FE U+E01E1 U+7956 U+6BCD,曾:IVS+1,
曾祖父,ㄗㄥ ㄗㄨˇ ㄈㄨˋ,ㄘㄥˊ ㄗㄨˇ ㄈㄨˋ,曾󠇡祖父,U+66FE U+E01E1 U+7956 U+7236,曾:IVS+1,
曾孫,ㄗㄥ ㄙㄨㄣ,ㄘㄥˊ ㄙㄨㄣ,曾󠇡孫,U+66FE U+E01E1 U+5B6B,曾:IVS+1,
憎惡,ㄗㄥ ㄨˋ,ㄗㄥ ㄜˋ,憎惡󠇡,U+618E U+60E1 U+E01E1,惡:IVS+1,
增長,ㄗㄥ ㄓㄤˇ,ㄗㄥ ㄔㄤˊ,增長󠇡,U+589E U+9577 U+E01E1,長:IVS+1,
卒子,ㄗㄨˊ ˙ㄗ,ㄗㄨˊ ㄗˇ,卒子󠇡,U+5352 U+5B50 U+E01E1,子:IVS+1,
族長,ㄗㄨˊ ㄓㄤˇ,ㄗㄨˊ ㄔㄤˊ,族長󠇡,U+65CF U+9577 U+E01E1,長:IVS+1,
阻塞,ㄗㄨˇ ㄙㄜˋ,ㄗㄨˇ ㄙㄞ,阻塞󠇡,U+963B U+585E U+E01E1,塞:IVS+1,
組長,ㄗㄨˇ ㄓㄤˇ,ㄗㄨˇ ㄔㄤˊ,組長󠇡,U+7D44 U+9577 U+E01E1,長:IVS+1,
作料,ㄗㄨㄛˊ ㄌㄧㄠˋ,ㄗㄨㄛˋ ㄌㄧㄠˋ,作󠇡料,U+4F5C U+E01E1 U+6599,作:IVS+1,
左撇子,ㄗㄨㄛˇ ㄆㄧㄝˇ ˙ㄗ,ㄗㄨㄛˇ ㄆㄧㄝˇ ㄗˇ,左撇子󠇡,U+5DE6 U+6487 U+5B50 U+E01E1,子:IVS+1,
坐月子,ㄗㄨㄛˋ ㄩㄝˋ ˙ㄗ,ㄗㄨㄛˋ ㄩㄝˋ ㄗˇ,坐月子󠇡,U+5750 U+6708 U+5B50 U+E01E1,子:IVS+1,
嘴皮子,ㄗㄨㄟˇ ㄆㄧˊ ˙ㄗ,ㄗㄨㄟˇ ㄆㄧˊ ㄗˇ,嘴皮子󠇡,U+5634 U+76AE U+5B50 U+E01E1,子:IVS+1,
纂兒,ㄗㄨㄢˇ ㄦ,ㄗㄨㄢˇ ㄦˊ,纂兒󠇡,U+7E82 U+5152 U+E01E1,兒:IVS+1,
鑽戒,ㄗㄨㄢˋ ㄐㄧㄝˋ,ㄗㄨㄢ ㄐㄧㄝˋ,鑽󠇡戒,U+947D U+E01E1 U+6212,鑽:IVS+1,
鑽石,ㄗㄨㄢˋ ㄕˊ,ㄗㄨㄢ ㄕˊ,鑽󠇡石,U+947D U+E01E1 U+77F3,鑽:IVS+1,
鑽子,ㄗㄨㄢˋ ˙ㄗ,ㄗㄨㄢ ㄗˇ,鑽󠇡子󠇡,U+947D U+E01E1 U+5B50 U+E01E1,鑽:IVS+1; 子:IVS+1,
尊長,ㄗㄨㄣ ㄓㄤˇ,ㄗㄨㄣ ㄔㄤˊ,尊長󠇡,U+5C0A U+9577 U+E01E1,長:IVS+1,
鱒魚,ㄗㄨㄣ ㄩˊ,ㄗㄨㄣˋ ㄩˊ,鱒󠇡魚,U+9C52 U+E01E1 U+9B5A,鱒:IVS+1,
縱隊,ㄗㄨㄥ ㄉㄨㄟˋ,ㄗㄨㄥˋ ㄉㄨㄟˋ,縱󠇡隊,U+7E31 U+E01E1 U+968A,縱:IVS+1,
縱谷,ㄗㄨㄥ ㄍㄨˇ,ㄗㄨㄥˋ ㄍㄨˇ,縱󠇡谷,U+7E31 U+E01E1 U+8C37,縱:IVS+1,
縱貫,ㄗㄨㄥ ㄍㄨㄢˋ,ㄗㄨㄥˋ ㄍㄨㄢˋ,縱󠇡貫,U+7E31 U+E01E1 U+8CAB,縱:IVS+1,
縱橫,ㄗㄨㄥ ㄏㄥˊ,ㄗㄨㄥˋ ㄏㄥˊ,縱󠇡橫,U+7E31 U+E01E1 U+6A6B,縱:IVS+1,
縱走,ㄗㄨㄥ ㄗㄡˇ,ㄗㄨㄥˋ ㄗㄡˇ,縱󠇡走,U+7E31 U+E01E1 U+8D70,縱:IVS+1,
總行,ㄗㄨㄥˇ ㄏㄤˊ,ㄗㄨㄥˇ ㄒㄧㄥˊ,總行󠇡,U+7E3D U+884C U+E01E1,行:IVS+1,
從犯,ㄗㄨㄥˋ ㄈㄢˋ,ㄘㄨㄥˊ ㄈㄢˋ,從󠇡犯,U+5F9E U+E01E1 U+72AF,從:IVS+1,
綜合銀行,ㄗㄨㄥˋ ㄏㄜˊ ㄧㄣˊ ㄏㄤˊ,ㄗㄨㄥˋ ㄏㄜˊ ㄧㄣˊ ㄒㄧㄥˊ,綜合銀行󠇡,U+7D9C U+5408 U+9280 U+884C U+E01E1,行:IVS+1,
伺候,ㄘˋ ㄏㄡˋ,ㄙˋ ㄏㄡˋ,伺󠇡候,U+4F3A U+E01E1 U+5019,伺:IVS+1,
測量,ㄘㄜˋ ㄌㄧㄤˊ,ㄘㄜˋ ㄌㄧㄤˋ,測量󠇡,U+6E2C U+91CF U+E01E1,量:IVS+1,
策應,ㄘㄜˋ ㄧㄥˋ,ㄘㄜˋ ㄧㄥ,策應󠇡,U+7B56 U+61C9 U+E01E1,應:IVS+1,
猜度,ㄘㄞ ㄉㄨㄛˋ,ㄘㄞ ㄉㄨˋ,猜度󠇡,U+731C U+5EA6 U+E01E1,度:IVS+1,
裁量,ㄘㄞˊ ㄌㄧㄤˊ,ㄘㄞˊ ㄌㄧㄤˋ,裁量󠇡,U+88C1 U+91CF U+E01E1,量:IVS+1,
操行,ㄘㄠ ㄒㄧㄥˋ,ㄘㄠ ㄒㄧㄥˊ,操行󠇢,U+64CD U+884C U+E01E2,行:IVS+2,
草率,ㄘㄠˇ ㄕㄨㄞˋ,ㄘㄠˇ ㄌㄩˋ,草率󠇡,U+8349 U+7387 U+E01E1,率:IVS+1,
草草了事,ㄘㄠˇ ㄘㄠˇ ㄌㄧㄠˇ ㄕˋ,ㄘㄠˇ ㄘㄠˇ ˙ㄌㄜ ㄕˋ,草草了󠇡事,U+8349 U+8349 U+4E86 U+E01E1 U+4E8B,了:IVS+1,
參與,ㄘㄢ ㄩˋ,ㄘㄢ ㄩˇ,參與󠇡,U+53C3 U+8207 U+E01E1,與:IVS+1,
慘綠少年,ㄘㄢˇ ㄌㄩˋ ㄕㄠˋ ㄋㄧㄢˊ,ㄘㄢˇ ㄌㄩˋ ㄕㄠˇ ㄋㄧㄢˊ,慘綠少󠇡年,U+6158 U+7DA0 U+5C11 U+E01E1 U+5E74,少:IVS+1,
參差,ㄘㄣ ㄘ,ㄘㄢ ㄔㄚ,參󠇢差󠇢,U+53C3 U+E01E2 U+5DEE U+E01E2,參:IVS+2; 差:IVS+2,
參差不齊,ㄘㄣ ㄘ ㄅㄨˋ ㄑㄧˊ,ㄘㄢ ㄔㄚ ㄅㄨˋ ㄑㄧˊ,參󠇢差󠇢不齊,U+53C3 U+E01E2 U+5DEE U+E01E2 U+4E0D U+9F4A,參:IVS+2; 差:IVS+2,
倉卒,ㄘㄤ ㄘㄨˋ,ㄘㄤ ㄗㄨˊ,倉卒󠇡,U+5009 U+5352 U+E01E1,卒:IVS+1,
藏頭露尾,ㄘㄤˊ ㄊㄡˊ ㄌㄡˋ ㄨㄟˇ,ㄘㄤˊ ㄊㄡˊ ㄌㄨˋ ㄨㄟˇ,藏頭露󠇡尾,U+85CF U+982D U+9732 U+E01E1 U+5C3E,露:IVS+1,
粗率,ㄘㄨ ㄕㄨㄞˋ,ㄘㄨ ㄌㄩˋ,粗率󠇡,U+7C97 U+7387 U+E01E1,率:IVS+1,
醋罈子,ㄘㄨˋ ㄊㄢˊ ˙ㄗ,ㄘㄨˋ ㄊㄢˊ ㄗˇ,醋罈子󠇡,U+918B U+7F48 U+5B50 U+E01E1,子:IVS+1,
攢眉,ㄘㄨㄢˊ ㄇㄟˊ,ㄗㄢˇ ㄇㄟˊ,攢󠇡眉,U+6522 U+E01E1 U+7709,攢:IVS+1,
村長,ㄘㄨㄣ ㄓㄤˇ,ㄘㄨㄣ ㄔㄤˊ,村長󠇡,U+6751 U+9577 U+E01E1,長:IVS+1,
忖度,ㄘㄨㄣˇ ㄉㄨㄛˋ,ㄘㄨㄣˇ ㄉㄨˋ,忖度󠇡,U+5FD6 U+5EA6 U+E01E1,度:IVS+1,
從容,ㄘㄨㄥ ㄖㄨㄥˊ,ㄘㄨㄥˊ ㄖㄨㄥˊ,從󠇣容,U+5F9E U+E01E3 U+5BB9,從:IVS+3,
從容不迫,ㄘㄨㄥ ㄖㄨㄥˊ ㄅㄨˋ ㄆㄛˋ,ㄘㄨㄥˊ ㄖㄨㄥˊ ㄅㄨˋ ㄆㄛˋ,從󠇣容不迫,U+5F9E U+E01E3 U+5BB9 U+4E0D U+8FEB,從:IVS+3,
從容就義,ㄘㄨㄥ ㄖㄨㄥˊ ㄐㄧㄡˋ ㄧˋ,ㄘㄨㄥˊ ㄖㄨㄥˊ ㄐㄧㄡˋ ㄧˋ,從󠇣容就義,U+5F9E U+E01E3 U+5BB9 U+5C31 U+7FA9,從:IVS+3,
從兄弟,ㄗㄨㄥˋ ㄒㄩㄥ ㄉㄧˋ,ㄘㄨㄥˊ ㄒㄩㄥ ㄉㄧˋ,從󠇡兄弟,U+5F9E U+E01E1 U+5144 U+5F1F,從:IVS+1,
私處,ㄙ ㄔㄨˋ,ㄙ ㄔㄨˇ,私處󠇡,U+79C1 U+8655 U+E01E1,處:IVS+1,
思量,ㄙ ㄌㄧㄤˊ,ㄙ ㄌㄧㄤˋ,思量󠇡,U+601D U+91CF U+E01E1,量:IVS+1,
死馬當活馬醫,ㄙˇ ㄇㄚˇ ㄉㄤˋ ㄏㄨㄛˊ ㄇㄚˇ ㄧ,ㄙˇ ㄇㄚˇ ㄉㄤ ㄏㄨㄛˊ ㄇㄚˇ ㄧ,死馬當󠇡活馬醫,U+6B7B U+99AC U+7576 U+E01E1 U+6D3B U+99AC U+91AB,當:IVS+1,
死對頭,ㄙˇ ㄉㄨㄟˋ ˙ㄊㄡ,ㄙˇ ㄉㄨㄟˋ ㄊㄡˊ,死對頭󠇡,U+6B7B U+5C0D U+982D U+E01E1,頭:IVS+1,
死難,ㄙˇ ㄋㄢˋ,ㄙˇ ㄋㄢˊ,死難󠇡,U+6B7B U+96E3 U+E01E1,難:IVS+1,
死心眼兒,ㄙˇ ㄒㄧㄣ ㄧㄢˇ ㄦ,ㄙˇ ㄒㄧㄣ ㄧㄢˇ ㄦˊ,死心眼兒󠇡,U+6B7B U+5FC3 U+773C U+5152 U+E01E1,兒:IVS+1,
四處,ㄙˋ ㄔㄨˋ,ㄙˋ ㄔㄨˇ,四處󠇡,U+56DB U+8655 U+E01E1,處:IVS+1,
四重奏,ㄙˋ ㄔㄨㄥˊ ㄗㄡˋ,ㄙˋ ㄓㄨㄥˋ ㄗㄡˋ,四重󠇡奏,U+56DB U+91CD U+E01E1 U+594F,重:IVS+1,
似曾相識,ㄙˋ ㄘㄥˊ ㄒㄧㄤ ㄕˋ,ㄙˋ ㄘㄥˊ ㄒㄧㄤˋ ㄕˋ,似曾相󠇡識,U+4F3C U+66FE U+76F8 U+E01E1 U+8B58,相:IVS+1,
撒旦,ㄙㄚ ㄉㄢˋ,ㄙㄚˇ ㄉㄢˋ,撒󠇡旦,U+6492 U+E01E1 U+65E6,撒:IVS+1,
撒腿,ㄙㄚ ㄊㄨㄟˇ,ㄙㄚˇ ㄊㄨㄟˇ,撒󠇡腿,U+6492 U+E01E1 U+817F,撒:IVS+1,
撒尿,ㄙㄚ ㄋㄧㄠˋ,ㄙㄚˇ ㄋㄧㄠˋ,撒󠇡尿,U+6492 U+E01E1 U+5C3F,撒:IVS+1,
撒賴,ㄙㄚ ㄌㄞˋ,ㄙㄚˇ ㄌㄞˋ,撒󠇡賴,U+6492 U+E01E1 U+8CF4,撒:IVS+1,
撒謊,ㄙㄚ ㄏㄨㄤˇ,ㄙㄚˇ ㄏㄨㄤˇ,撒󠇡謊,U+6492 U+E01E1 U+8B0A,撒:IVS+1,
撒嬌,ㄙㄚ ㄐㄧㄠ,ㄙㄚˇ ㄐㄧㄠ,撒󠇡嬌,U+6492 U+E01E1 U+5B0C,撒:IVS+1,
撒手,ㄙㄚ ㄕㄡˇ,ㄙㄚˇ ㄕㄡˇ,撒󠇡手,U+6492 U+E01E1 U+624B,撒:IVS+1,
撒手人寰,ㄙㄚ ㄕㄡˇ ㄖㄣˊ ㄏㄨㄢˊ,ㄙㄚˇ ㄕㄡˇ ㄖㄣˊ ㄏㄨㄢˊ,撒󠇡手人寰,U+6492 U+E01E1 U+624B U+4EBA U+5BF0,撒:IVS+1,
撒野,ㄙㄚ ㄧㄝˇ,ㄙㄚˇ ㄧㄝˇ,撒󠇡野,U+6492 U+E01E1 U+91CE,撒:IVS+1,
撒網,ㄙㄚ ㄨㄤˇ,ㄙㄚˇ ㄨㄤˇ,撒󠇡網,U+6492 U+E01E1 U+7DB2,撒:IVS+1,
色調,ㄙㄜˋ ㄉㄧㄠˋ,ㄙㄜˋ ㄊㄧㄠˊ,色調󠇡,U+8272 U+8ABF U+E01E1,調:IVS+1,
塞責,ㄙㄜˋ ㄗㄜˊ,ㄙㄞ ㄗㄜˊ,塞󠇡責,U+585E U+E01E1 U+8CAC,塞:IVS+1,
腮幫子,ㄙㄞ ㄅㄤ ˙ㄗ,ㄙㄞ ㄅㄤ ㄗˇ,腮幫子󠇡,U+816E U+5E6B U+5B50 U+E01E1,子:IVS+1,
塞內,ㄙㄞˋ ㄋㄟˋ,ㄙㄞ ㄋㄟˋ,塞󠇢內,U+585E U+E01E2 U+5167,塞:IVS+2,
塞翁失馬,ㄙㄞˋ ㄨㄥ ㄕ ㄇㄚˇ,ㄙㄞ ㄨㄥ ㄕ ㄇㄚˇ,塞󠇢翁失馬,U+585E U+E01E2 U+7FC1 U+5931 U+99AC,塞:IVS+2,
搔到癢處,ㄙㄠ ㄉㄠˋ ㄧㄤˇ ㄔㄨˋ,ㄙㄠ ㄉㄠˋ ㄧㄤˇ ㄔㄨˇ,搔到癢處󠇡,U+6414 U+5230 U+7662 U+8655 U+E01E1,處:IVS+1,
掃興,ㄙㄠˇ ㄒㄧㄥˋ,ㄙㄠˇ ㄒㄧㄥ,掃興󠇡,U+6383 U+8208 U+E01E1,興:IVS+1,
嫂子,ㄙㄠˇ ˙ㄗ,ㄙㄠˇ ㄗˇ,嫂子󠇡,U+5AC2 U+5B50 U+E01E1,子:IVS+1,
嫂嫂,ㄙㄠˇ ˙ㄙㄠ,ㄙㄠˇ ㄙㄠˇ,嫂嫂󠇡,U+5AC2 U+5AC2 U+E01E1,嫂:IVS+1,
掃把,ㄙㄠˋ ㄅㄚˇ,ㄙㄠˇ ㄅㄚˇ,掃󠇡把,U+6383 U+E01E1 U+628A,掃:IVS+1,
掃帚,ㄙㄠˋ ㄓㄡˇ,ㄙㄠˇ ㄓㄡˇ,掃󠇡帚,U+6383 U+E01E1 U+5E1A,掃:IVS+1,
掃帚星,ㄙㄠˋ ㄓㄡˇ ㄒㄧㄥ,ㄙㄠˇ ㄓㄡˇ ㄒㄧㄥ,掃󠇡帚星,U+6383 U+E01E1 U+5E1A U+661F,掃:IVS+1,
三百六十行,ㄙㄢ ㄅㄞˇ ㄌㄧㄡˋ ㄕˊ ㄏㄤˊ,ㄙㄢ ㄅㄞˇ ㄌㄧㄡˋ ㄕˊ ㄒㄧㄥˊ,三百六十行󠇡,U+4E09 U+767E U+516D U+5341 U+884C U+E01E1,行:IVS+1,
三更半夜,ㄙㄢ ㄍㄥ ㄅㄢˋ ㄧㄝˋ,ㄙㄢ ㄍㄥˋ ㄅㄢˋ ㄧㄝˋ,三更󠇡半夜,U+4E09 U+66F4 U+E01E1 U+534A U+591C,更:IVS+1,
三更燈火五更雞,ㄙㄢ ㄍㄥ ㄉㄥ ㄏㄨㄛˇ ㄨˇ ㄍㄥ ㄐㄧ,ㄙㄢ ㄍㄥˋ ㄉㄥ ㄏㄨㄛˇ ㄨˇ ㄍㄥˋ ㄐㄧ,三更󠇡燈火五更󠇡雞,U+4E09 U+66F4 U+E01E1 U+71C8 U+706B U+4E94 U+66F4 U+E01E1 U+96DE,更:IVS+1; 更:IVS+1,
三句不離本行,ㄙㄢ ㄐㄩˋ ㄅㄨˋ ㄌㄧˊ ㄅㄣˇ ㄏㄤˊ,ㄙㄢ ㄐㄩˋ ㄅㄨˋ ㄌㄧˊ ㄅㄣˇ ㄒㄧㄥˊ,三句不離本行󠇡,U+4E09 U+53E5 U+4E0D U+96E2 U+672C U+884C U+E01E1,行:IVS+1,
散兵,ㄙㄢˇ ㄅㄧㄥ,ㄙㄢˋ ㄅㄧㄥ,散󠇡兵,U+6563 U+E01E1 U+5175,散:IVS+1,
散曲,ㄙㄢˇ ㄑㄩˇ,ㄙㄢˋ ㄑㄩˇ,散󠇡曲,U+6563 U+E01E1 U+66F2,散:IVS+1,
散沙,ㄙㄢˇ ㄕㄚ,ㄙㄢˋ ㄕㄚ,散󠇡沙,U+6563 U+E01E1 U+6C99,散:IVS+1,
散文,ㄙㄢˇ ㄨㄣˊ,ㄙㄢˋ ㄨㄣˊ,散󠇡文,U+6563 U+E01E1 U+6587,散:IVS+1,
散漫,ㄙㄢˇ ㄇㄢˋ,ㄙㄢˋ ㄇㄢˋ,散󠇡漫,U+6563 U+E01E1 U+6F2B,散:IVS+1,
